NAME,TYPE,SUBTYPE,CR,SOURCE,LINK
Duergar Alchemist,Humanoid,dwarf,1,OotA,https://5e.tools/bestiary.html#duergar%20alchemist_oota
Duergar Darkhaft,Humanoid,dwarf,2,OotA,https://5e.tools/bestiary.html#duergar%20darkhaft_oota
Duergar Despot,Humanoid,dwarf,12,MTF,https://5e.tools/bestiary.html#duergar%20despot_mtf
Duergar Hammerer,Construct,,2,MTF,https://5e.tools/bestiary.html#duergar%20hammerer_mtf
Duergar Kavalrachni,Humanoid,dwarf,2,MTF,https://5e.tools/bestiary.html#duergar%20kavalrachni_mtf
Duergar Keeper of the Flame,Humanoid,dwarf,2,OotA,https://5e.tools/bestiary.html#duergar%20keeper%20of%20the%20flame_oota
Duergar Mind Master,Humanoid,dwarf,2,MTF,https://5e.tools/bestiary.html#duergar%20mind%20master_mtf
Duergar Screamer,Construct,,3,MTF,https://5e.tools/bestiary.html#duergar%20screamer_mtf
Duergar Soulblade,Humanoid,dwarf,1,MTF,https://5e.tools/bestiary.html#duergar%20soulblade_mtf
Duergar Spore Servant,Plant,,1/2,OotA,https://5e.tools/bestiary.html#duergar%20spore%20servant_oota
Duergar Spy,Humanoid,dwarf,2,TftYP,https://5e.tools/bestiary.html#duergar%20spy_tftyp
Duergar Stone Guard,Humanoid,dwarf,2,MTF,https://5e.tools/bestiary.html#duergar%20stone%20guard_mtf
Duergar Warlord,Humanoid,dwarf,6,MTF,https://5e.tools/bestiary.html#duergar%20warlord_mtf
Duergar Xarrorn,Humanoid,dwarf,2,MTF,https://5e.tools/bestiary.html#duergar%20xarrorn_mtf
Duke Thalamra Vanthampur,Humanoid,human,4,BGDIA,https://5e.tools/bestiary.html#duke%20thalamra%20vanthampur_bgdia
Duke Zalto,Giant,,9,SKT,https://5e.tools/bestiary.html#duke%20zalto_skt
Dullahan,Undead,,10,VRGR,https://5e.tools/bestiary.html#dullahan_vrgr
Duodrone,Construct,,1/4,MM,https://5e.tools/bestiary.html#duodrone_mm
Durnan,Humanoid,human,9,WDH,https://5e.tools/bestiary.html#durnan_wdh
Durnn,Humanoid,goblinoid,1,TftYP,https://5e.tools/bestiary.html#durnn_tftyp
Dusk Hag,Fey,,6,ERLW,https://5e.tools/bestiary.html#dusk%20hag_erlw
Dust Mephit,Elemental,,1/2,MM,https://5e.tools/bestiary.html#dust%20mephit_mm
Duvessa Shane,Humanoid,Illuskan human,0,SKT,https://5e.tools/bestiary.html#duvessa%20shane_skt
Dwarven Worker,Humanoid,dwarf,1/8,IMR,https://5e.tools/bestiary.html#dwarven%20worker_imr
Dybbuk,Fiend,demon,4,MTF,https://5e.tools/bestiary.html#dybbuk_mtf
Dyrrn,Aberration,,24,ERLW,https://5e.tools/bestiary.html#dyrrn_erlw
Dzaan,Humanoid,human,4,IDRotF,https://5e.tools/bestiary.html#dzaan_idrotf
Dzaan's Simulacrum,Construct,,1,IDRotF,https://5e.tools/bestiary.html#dzaan's%20simulacrum_idrotf
Eagle,Beast,,0,MM,https://5e.tools/bestiary.html#eagle_mm
Earth Elemental,Elemental,,5,MM,https://5e.tools/bestiary.html#earth%20elemental_mm
Earth Elemental Myrmidon,Elemental,,7,MTF,https://5e.tools/bestiary.html#earth%20elemental%20myrmidon_mtf
Eater of Hope,Fiend,,6,MOT,https://5e.tools/bestiary.html#eater%20of%20hope_mot
Eblis,Monstrosity,,1,ToA,https://5e.tools/bestiary.html#eblis_toa
Ebondeath,Undead,,4,DC,https://5e.tools/bestiary.html#ebondeath_dc
Efreeti,Elemental,,11,MM,https://5e.tools/bestiary.html#efreeti_mm
Eidolon,Undead,,12,MTF,https://5e.tools/bestiary.html#eidolon_mtf
Eigeron's Ghost,Undead,,4,SKT,https://5e.tools/bestiary.html#eigeron's%20ghost_skt
Eira,Humanoid,elf,2,TftYP,https://5e.tools/bestiary.html#eira_tftyp
Ekene-Afa,Humanoid,human,5,ToA,https://5e.tools/bestiary.html#ekene-afa_toa
Eku,Celestial,,4,ToA,https://5e.tools/bestiary.html#eku_toa
Elder Black Pudding,Ooze,,4,TftYP,https://5e.tools/bestiary.html#elder%20black%20pudding_tftyp
Elder Brain,Aberration,,14,VGM,https://5e.tools/bestiary.html#elder%20brain_vgm
Elder Dinosaur,Monstrosity,titan,30,PSX,https://5e.tools/bestiary.html#elder%20dinosaur_psx
"Elder Dinosaur (Etali, Primal Storm)",Monstrosity,titan,30,PSX,https://5e.tools/bestiary.html#elder%20dinosaur%20(etali%2c%20primal%20storm)_psx
"Elder Dinosaur (Ghalta, Primal Hunger)",Monstrosity,titan,30,PSX,https://5e.tools/bestiary.html#elder%20dinosaur%20(ghalta%2c%20primal%20hunger)_psx
"Elder Dinosaur (Nezahal, Primal Tide)",Monstrosity,titan,30,PSX,https://5e.tools/bestiary.html#elder%20dinosaur%20(nezahal%2c%20primal%20tide)_psx
"Elder Dinosaur (Tetzimoc, Primal Death)",Monstrosity,titan,30,PSX,https://5e.tools/bestiary.html#elder%20dinosaur%20(tetzimoc%2c%20primal%20death)_psx
"Elder Dinosaur (Zacama, Primal Calamity)",Monstrosity,titan,30,PSX,https://5e.tools/bestiary.html#elder%20dinosaur%20(zacama%2c%20primal%20calamity)_psx
"Elder Dinosaur (Zetalpa, Primal Dawn)",Monstrosity,titan,30,PSX,https://5e.tools/bestiary.html#elder%20dinosaur%20(zetalpa%2c%20primal%20dawn)_psx
Elder Giant Lizard,Beast,,5,TftYP,https://5e.tools/bestiary.html#elder%20giant%20lizard_tftyp
Elder Oblex,Ooze,,10,MTF,https://5e.tools/bestiary.html#elder%20oblex_mtf
Elder Tempest,Elemental,,23,MTF,https://5e.tools/bestiary.html#elder%20tempest_mtf
Eldeth Feldrun,Humanoid,dwarf,1/2,OotA,https://5e.tools/bestiary.html#eldeth%20feldrun_oota
Elemental Spirit,Elemental,,—,TCE,https://5e.tools/bestiary.html#elemental%20spirit_tce
Elemental Spirit,Elemental,,—,UA20SMT,https://5e.tools/bestiary.html#elemental%20spirit_ua20smt
Elephant,Beast,,4,MM,https://5e.tools/bestiary.html#elephant_mm
Elise,Construct,,5,VRGR,https://5e.tools/bestiary.html#elise_vrgr
Elister,Humanoid,gnome,2,SKT,https://5e.tools/bestiary.html#elister_skt
Elizar Dryflagon,Humanoid,human,5,PotA,https://5e.tools/bestiary.html#elizar%20dryflagon_pota
Elk,Beast,,1/4,MM,https://5e.tools/bestiary.html#elk_mm
Elliach,Humanoid,human,6,BGDIA,https://5e.tools/bestiary.html#elliach_bgdia
Elok Jaharwon,Humanoid,"human, shapechanger",4,ToA,https://5e.tools/bestiary.html#elok%20jaharwon_toa
Elzerina Cassalanter,Humanoid,human,Unknown,WDH,https://5e.tools/bestiary.html#elzerina%20cassalanter_wdh
Emberhorn Minotaur,Monstrosity,,3,PotA,https://5e.tools/bestiary.html#emberhorn%20minotaur_pota
Emberosa,Giant,,9,WDMM,https://5e.tools/bestiary.html#emberosa_wdmm
Embric,Humanoid,Fire genasi,2,WDH,https://5e.tools/bestiary.html#embric_wdh
Emerald Enclave Scout,Humanoid,dwarf,1/2,OotA,https://5e.tools/bestiary.html#emerald%20enclave%20scout_oota
Emil Toranescu,Humanoid,"human, shapechanger",3,CoS,https://5e.tools/bestiary.html#emil%20toranescu_cos
Emmek Frewn,Humanoid,human,0,WDH,https://5e.tools/bestiary.html#emmek%20frewn_wdh
Empyrean,Celestial,titan,23,MM,https://5e.tools/bestiary.html#empyrean_mm
Enchanter,Humanoid,any race,5,VGM,https://5e.tools/bestiary.html#enchanter_vgm
Engineer,Humanoid,Rock gnome,1/4,WDH,https://5e.tools/bestiary.html#engineer_wdh
Enhanced Medusa,Monstrosity,,6,IMR,https://5e.tools/bestiary.html#enhanced%20medusa_imr
Enormous Tentacle,Beast,,2,OoW,https://5e.tools/bestiary.html#enormous%20tentacle_oow
Erinyes,Fiend,devil,12,MM,https://5e.tools/bestiary.html#erinyes_mm
Erky Timbers,Humanoid,gnome,1/4,TftYP,https://5e.tools/bestiary.html#erky%20timbers_tftyp
Escher,Undead,,5,CoS,https://5e.tools/bestiary.html#escher_cos
Estia,Giant,,9,TftYP,https://5e.tools/bestiary.html#estia_tftyp
Eternal,Undead,,3,PSA,https://5e.tools/bestiary.html#eternal_psa
Eternal Flame Guardian,Humanoid,human,2,PotA,https://5e.tools/bestiary.html#eternal%20flame%20guardian_pota
Eternal Flame Priest,Humanoid,human,3,PotA,https://5e.tools/bestiary.html#eternal%20flame%20priest_pota
Ettercap,Monstrosity,,2,MM,https://5e.tools/bestiary.html#ettercap_mm
Ettin,Giant,,4,MM,https://5e.tools/bestiary.html#ettin_mm
Evil Mage,Humanoid,human,1,LMoP,https://5e.tools/bestiary.html#evil%20mage_lmop
Evoker,Humanoid,any race,9,VGM,https://5e.tools/bestiary.html#evoker_vgm
Exethanter,Undead,,10,CoS,https://5e.tools/bestiary.html#exethanter_cos
Expeditious Messenger,Construct,,1/8,ERLW,https://5e.tools/bestiary.html#expeditious%20messenger_erlw
Expert,Humanoid,,—,ESK,https://5e.tools/bestiary.html#expert_esk
Expert,Humanoid,,—,DC,https://5e.tools/bestiary.html#expert_dc
Expert,Humanoid,,—,SDW,https://5e.tools/bestiary.html#expert_sdw
Expert,Humanoid,,—,SLW,https://5e.tools/bestiary.html#expert_slw
Eye of Fear and Flame,Undead,,9,MFF,https://5e.tools/bestiary.html#eye%20of%20fear%20and%20flame_mff
Ezmerelda d'Avenir,Humanoid,human,8,CoS,https://5e.tools/bestiary.html#ezmerelda%20d'avenir_cos
Ezzat,Undead,,21,WDMM,https://5e.tools/bestiary.html#ezzat_wdmm
F'yorl,Aberration,,0,IDRotF,https://5e.tools/bestiary.html#f'yorl_idrotf
Faerie Dragon (Blue),Dragon,,2,MM,https://5e.tools/bestiary.html#faerie%20dragon%20(blue)_mm
Faerie Dragon (Green),Dragon,,2,MM,https://5e.tools/bestiary.html#faerie%20dragon%20(green)_mm
Faerie Dragon (Indigo),Dragon,,2,MM,https://5e.tools/bestiary.html#faerie%20dragon%20(indigo)_mm
Faerie Dragon (Orange),Dragon,,1,MM,https://5e.tools/bestiary.html#faerie%20dragon%20(orange)_mm
Faerie Dragon (Red),Dragon,,1,MM,https://5e.tools/bestiary.html#faerie%20dragon%20(red)_mm
Faerie Dragon (Violet),Dragon,,2,MM,https://5e.tools/bestiary.html#faerie%20dragon%20(violet)_mm
Faerie Dragon (Yellow),Dragon,,1,MM,https://5e.tools/bestiary.html#faerie%20dragon%20(yellow)_mm
Faerl,Humanoid,elf,1/8,CM,https://5e.tools/bestiary.html#faerl_cm
Fala Lefaliir,Humanoid,Wood elf,2,WDH,https://5e.tools/bestiary.html#fala%20lefaliir_wdh
Falcon,Beast,,0,WDH,https://5e.tools/bestiary.html#falcon_wdh
Falcon the Hunter,Humanoid,human,4,DIP,https://5e.tools/bestiary.html#falcon%20the%20hunter_dip
Faroul,Humanoid,human,1/2,ToA,https://5e.tools/bestiary.html#faroul_toa
Fastieth,Beast,,1/4,ERLW,https://5e.tools/bestiary.html#fastieth_erlw
Fathomer,Humanoid,human,2,PotA,https://5e.tools/bestiary.html#fathomer_pota
Fazrian,Celestial,,16,WDMM,https://5e.tools/bestiary.html#fazrian_wdmm
Feathergale Knight,Humanoid,human,1,PotA,https://5e.tools/bestiary.html#feathergale%20knight_pota
Fel'rekt Lafeen,Humanoid,elf,4,WDH,https://5e.tools/bestiary.html#fel'rekt%20lafeen_wdh
Felbarren Dwarf,Humanoid,dwarf,1/8,SKT,https://5e.tools/bestiary.html#felbarren%20dwarf_skt
Felgolos,Dragon,,15,SKT,https://5e.tools/bestiary.html#felgolos_skt
Felidar,Celestial,,5,PSZ,https://5e.tools/bestiary.html#felidar_psz
Felidar,Celestial,,5,GGR,https://5e.tools/bestiary.html#felidar_ggr
Female Steeder,Monstrosity,,1,MTF,https://5e.tools/bestiary.html#female%20steeder_mtf
Fennor,Humanoid,human,3,PotA,https://5e.tools/bestiary.html#fennor_pota
Fenthaza,Monstrosity,"shapechanger, yuan-ti",4,ToA,https://5e.tools/bestiary.html#fenthaza_toa
Feonor,Humanoid,human,12,BGDIA,https://5e.tools/bestiary.html#feonor_bgdia
Ferol Sal,Undead,,3,EGW,https://5e.tools/bestiary.html#ferol%20sal_egw
Fey Spirit,Fey,,—,TCE,https://5e.tools/bestiary.html#fey%20spirit_tce
Fey Spirit,Fey,,—,UA20SMT,https://5e.tools/bestiary.html#fey%20spirit_ua20smt
Fhenimore,Humanoid,human,5,LR,https://5e.tools/bestiary.html#fhenimore_lr
Fidelio,Undead,,4,WDMM,https://5e.tools/bestiary.html#fidelio_wdmm
Fiendish Flesh Golem,Construct,,8,BGDIA,https://5e.tools/bestiary.html#fiendish%20flesh%20golem_bgdia
Fiendish Giant Spider,Beast,,1/2,OotA,https://5e.tools/bestiary.html#fiendish%20giant%20spider_oota
Fiendish Spirit,Fiend,,—,TCE,https://5e.tools/bestiary.html#fiendish%20spirit_tce
Fiendish Spirit,Fiend,,—,UA20SMT,https://5e.tools/bestiary.html#fiendish%20spirit_ua20smt
Fire Elemental,Elemental,,5,MM,https://5e.tools/bestiary.html#fire%20elemental_mm
Fire Elemental Myrmidon,Elemental,,7,MTF,https://5e.tools/bestiary.html#fire%20elemental%20myrmidon_mtf
Fire Giant,Giant,,9,MM,https://5e.tools/bestiary.html#fire%20giant_mm
Fire Giant Dreadnought,Giant,fire giant,14,VGM,https://5e.tools/bestiary.html#fire%20giant%20dreadnought_vgm
Fire Giant Royal Headsman,Giant,,9,TftYP,https://5e.tools/bestiary.html#fire%20giant%20royal%20headsman_tftyp
Fire Giant Servant,Giant,,5,TftYP,https://5e.tools/bestiary.html#fire%20giant%20servant_tftyp
Fire Snake,Elemental,,1,MM,https://5e.tools/bestiary.html#fire%20snake_mm
Firefist,Humanoid,any race,7,GGR,https://5e.tools/bestiary.html#firefist_ggr
Firemane Angel,Celestial,,12,GGR,https://5e.tools/bestiary.html#firemane%20angel_ggr
Firenewt Warlock of Imix,Humanoid,firenewt,1,VGM,https://5e.tools/bestiary.html#firenewt%20warlock%20of%20imix_vgm
Firenewt Warrior,Humanoid,firenewt,1/2,VGM,https://5e.tools/bestiary.html#firenewt%20warrior_vgm
Fish,Beast,,0,GoS,https://5e.tools/bestiary.html#fish_gos
Fist of Bane,Humanoid,human,1/2,BGDIA,https://5e.tools/bestiary.html#fist%20of%20bane_bgdia
Five-Armed Troll,Giant,,5,WDMM,https://5e.tools/bestiary.html#five-armed%20troll_wdmm
Flabbergast,Humanoid,human,4,AI,https://5e.tools/bestiary.html#flabbergast_ai
Flail Snail,Elemental,,3,VGM,https://5e.tools/bestiary.html#flail%20snail_vgm
Flameskull,Undead,,4,MM,https://5e.tools/bestiary.html#flameskull_mm
Flamewrath,Humanoid,human,6,PotA,https://5e.tools/bestiary.html#flamewrath_pota
Flask of Wine,Humanoid,tabaxi,1,ToA,https://5e.tools/bestiary.html#flask%20of%20wine_toa
Fleecemane Lion,Monstrosity,,3,MOT,https://5e.tools/bestiary.html#fleecemane%20lion_mot
Flesh Golem,Construct,,5,MM,https://5e.tools/bestiary.html#flesh%20golem_mm
Flight Alabaster Angel,Celestial,,10,PSI,https://5e.tools/bestiary.html#flight%20alabaster%20angel_psi
Flight Goldnight Angel,Celestial,,11,PSI,https://5e.tools/bestiary.html#flight%20goldnight%20angel_psi
Flight of Moonsilver Angel,Celestial,,10,PSI,https://5e.tools/bestiary.html#flight%20of%20moonsilver%20angel_psi
Flind,Humanoid,gnoll,9,VGM,https://5e.tools/bestiary.html#flind_vgm
Flitterstep Eidolon,Undead,,3,MOT,https://5e.tools/bestiary.html#flitterstep%20eidolon_mot
Floon Blagmaar,Humanoid,human,0,WDH,https://5e.tools/bestiary.html#floon%20blagmaar_wdh
Flumph,Aberration,,1/8,MM,https://5e.tools/bestiary.html#flumph_mm
Flux Blastseeker,Humanoid,any race,5,GGR,https://5e.tools/bestiary.html#flux%20blastseeker_ggr
Fluxcharger,Elemental,,7,GGR,https://5e.tools/bestiary.html#fluxcharger_ggr
Flying Dagger,Construct,,1/4,BGDIA,https://5e.tools/bestiary.html#flying%20dagger_bgdia
Flying Horror,Aberration,,3,GGR,https://5e.tools/bestiary.html#flying%20horror_ggr
Flying Monkey,Beast,,0,ToA,https://5e.tools/bestiary.html#flying%20monkey_toa
Flying Shield,Construct,,1/4,TftYP,https://5e.tools/bestiary.html#flying%20shield_tftyp
Flying Snake,Beast,,1/8,MM,https://5e.tools/bestiary.html#flying%20snake_mm
Flying Staff,Construct,,1/4,WDH,https://5e.tools/bestiary.html#flying%20staff_wdh
Flying Sword,Construct,,1/4,MM,https://5e.tools/bestiary.html#flying%20sword_mm
Flying Trident,Construct,,1/4,WDMM,https://5e.tools/bestiary.html#flying%20trident_wdmm
Fog Giant,Giant,,11,MFF,https://5e.tools/bestiary.html#fog%20giant_mff
Fomorian,Giant,,8,MM,https://5e.tools/bestiary.html#fomorian_mm
Forlarren,Fey,,3,MFF,https://5e.tools/bestiary.html#forlarren_mff
Four-Armed Gargoyle,Elemental,,2,TftYP,https://5e.tools/bestiary.html#four-armed%20gargoyle_tftyp
Four-Armed Statue,Construct,,10,OotA,https://5e.tools/bestiary.html#four-armed%20statue_oota
Fox,Beast,,0,IDRotF,https://5e.tools/bestiary.html#fox_idrotf
Fraz-Urb'luu,Fiend,demon,23,MTF,https://5e.tools/bestiary.html#fraz-urb'luu_mtf
Frilled Deathspitter,Beast,,1/2,PSX,https://5e.tools/bestiary.html#frilled%20deathspitter_psx
Frog,Beast,,0,MM,https://5e.tools/bestiary.html#frog_mm
Froghemoth,Monstrosity,,10,VGM,https://5e.tools/bestiary.html#froghemoth_vgm
Frontline Medic,Humanoid,any race,1/4,GGR,https://5e.tools/bestiary.html#frontline%20medic_ggr
Frost Druid,Humanoid,human,5,IDRotF,https://5e.tools/bestiary.html#frost%20druid_idrotf
Frost Giant,Giant,,8,MM,https://5e.tools/bestiary.html#frost%20giant_mm
Frost Giant Everlasting One,Giant,frost giant,12,VGM,https://5e.tools/bestiary.html#frost%20giant%20everlasting%20one_vgm
Frost Giant Servant,Giant,,5,TftYP,https://5e.tools/bestiary.html#frost%20giant%20servant_tftyp
Frost Giant Skeleton,Undead,,6,IDRotF,https://5e.tools/bestiary.html#frost%20giant%20skeleton_idrotf
Frost Giant Zombie,Undead,,9,EGW,https://5e.tools/bestiary.html#frost%20giant%20zombie_egw
Frost Salamander,Elemental,,9,MTF,https://5e.tools/bestiary.html#frost%20salamander_mtf
Frost Worm,Monstrosity,,17,EGW,https://5e.tools/bestiary.html#frost%20worm_egw
Frulam Mondath,Humanoid,human,2,HotDQ,https://5e.tools/bestiary.html#frulam%20mondath_hotdq
Fungal Servant,Undead,,15,CM,https://5e.tools/bestiary.html#fungal%20servant_cm
Gadof Blinsky,Humanoid,human,0,CoS,https://5e.tools/bestiary.html#gadof%20blinsky_cos
Galeb Duhr,Elemental,,6,MM,https://5e.tools/bestiary.html#galeb%20duhr_mm
Gallows Speaker,Undead,,6,VRGR,https://5e.tools/bestiary.html#gallows%20speaker_vrgr
Galvan,Humanoid,human,7,RoT,https://5e.tools/bestiary.html#galvan_rot
Galvan Magen,Construct,,3,IDRotF,https://5e.tools/bestiary.html#galvan%20magen_idrotf
Galvanic Blastseeker,Humanoid,any race,5,GGR,https://5e.tools/bestiary.html#galvanic%20blastseeker_ggr
Galvanice Weird,Elemental,,1,GGR,https://5e.tools/bestiary.html#galvanice%20weird_ggr
Gar Shatterkeel,Humanoid,human,9,PotA,https://5e.tools/bestiary.html#gar%20shatterkeel_pota
Gar Shatterkeel,Humanoid,,15,LR,https://5e.tools/bestiary.html#gar%20shatterkeel_lr
Gargantuan Rug of Smothering,Construct,,2,TftYP,https://5e.tools/bestiary.html#gargantuan%20rug%20of%20smothering_tftyp
Gargoyle,Elemental,,2,MM,https://5e.tools/bestiary.html#gargoyle_mm
Garra,Giant,,1,ERLW,https://5e.tools/bestiary.html#garra_erlw
Garret Levistusson,Humanoid,,2,LLK,https://5e.tools/bestiary.html#garret%20levistusson_llk
Gas Spore,Plant,,1/2,MM,https://5e.tools/bestiary.html#gas%20spore_mm
Gash,Humanoid,gnoll,1/2,OotA,https://5e.tools/bestiary.html#gash_oota
Gauth,Aberration,,6,VGM,https://5e.tools/bestiary.html#gauth_vgm
Gazer,Aberration,,1/2,VGM,https://5e.tools/bestiary.html#gazer_vgm
Gearkeeper Construct,Construct,,10,EGW,https://5e.tools/bestiary.html#gearkeeper%20construct_egw
Geist,Undead,,4,PSI,https://5e.tools/bestiary.html#geist_psi
Gelatinous Cube,Ooze,,2,MM,https://5e.tools/bestiary.html#gelatinous%20cube_mm
Geonid,Elemental,,1/4,TTP,https://5e.tools/bestiary.html#geonid_ttp
Gertruda,Humanoid,human,0,CoS,https://5e.tools/bestiary.html#gertruda_cos
Geryon,Fiend,devil,22,MTF,https://5e.tools/bestiary.html#geryon_mtf
Ghald,Humanoid,sahuagin,7,PotA,https://5e.tools/bestiary.html#ghald_pota
Ghast,Undead,,2,MM,https://5e.tools/bestiary.html#ghast_mm
Ghazrim DuLoc,Humanoid,human,1/8,OotA,https://5e.tools/bestiary.html#ghazrim%20duloc_oota
Ghelryn Foehammer,Humanoid,shield dwarf,0,SKT,https://5e.tools/bestiary.html#ghelryn%20foehammer_skt
Ghost,Undead,,4,MM,https://5e.tools/bestiary.html#ghost_mm
Ghostblade Eidolon,Undead,,5,MOT,https://5e.tools/bestiary.html#ghostblade%20eidolon_mot
Ghoul,Undead,,1,MM,https://5e.tools/bestiary.html#ghoul_mm
Giant Ape,Beast,,7,MM,https://5e.tools/bestiary.html#giant%20ape_mm
Giant Badger,Beast,,1/4,MM,https://5e.tools/bestiary.html#giant%20badger_mm
Giant Bat,Beast,,1/4,MM,https://5e.tools/bestiary.html#giant%20bat_mm
Giant Boar,Beast,,2,MM,https://5e.tools/bestiary.html#giant%20boar_mm
Giant Centipede,Beast,,1/4,MM,https://5e.tools/bestiary.html#giant%20centipede_mm
Giant Constrictor Snake,Beast,,2,MM,https://5e.tools/bestiary.html#giant%20constrictor%20snake_mm
Giant Coral Snake,Beast,,4,GoS,https://5e.tools/bestiary.html#giant%20coral%20snake_gos
Giant Crab,Beast,,1/8,MM,https://5e.tools/bestiary.html#giant%20crab_mm
Giant Crayfish,Beast,,2,TftYP,https://5e.tools/bestiary.html#giant%20crayfish_tftyp
Giant Crocodile,Beast,,5,MM,https://5e.tools/bestiary.html#giant%20crocodile_mm
Giant Eagle,Beast,,1,MM,https://5e.tools/bestiary.html#giant%20eagle_mm
Giant Elk,Beast,,2,MM,https://5e.tools/bestiary.html#giant%20elk_mm
Giant Fire Beetle,Beast,,0,MM,https://5e.tools/bestiary.html#giant%20fire%20beetle_mm
Giant Fly,Beast,,—,DMG,https://5e.tools/bestiary.html#giant%20fly_dmg
Giant Flying Spider,Beast,,1,WDMM,https://5e.tools/bestiary.html#giant%20flying%20spider_wdmm
Giant Four-Armed Gargoyle,Elemental,,10,ToA,https://5e.tools/bestiary.html#giant%20four-armed%20gargoyle_toa
Giant Frog,Beast,,1/4,MM,https://5e.tools/bestiary.html#giant%20frog_mm
Giant Goat,Beast,,1/2,MM,https://5e.tools/bestiary.html#giant%20goat_mm
Giant Hyena,Beast,,1,MM,https://5e.tools/bestiary.html#giant%20hyena_mm
Giant Ice Toad,Monstrosity,,3,TftYP,https://5e.tools/bestiary.html#giant%20ice%20toad_tftyp
Giant Lightning Eel,Beast,,3,TftYP,https://5e.tools/bestiary.html#giant%20lightning%20eel_tftyp
Giant Lizard,Beast,,1/4,MM,https://5e.tools/bestiary.html#giant%20lizard_mm
Giant Mutated Drow,Humanoid,elf,9,WDMM,https://5e.tools/bestiary.html#giant%20mutated%20drow_wdmm
Giant Octopus,Beast,,1,MM,https://5e.tools/bestiary.html#giant%20octopus_mm
Giant Owl,Beast,,1/4,MM,https://5e.tools/bestiary.html#giant%20owl_mm
Giant Poisonous Snake,Beast,,1/4,MM,https://5e.tools/bestiary.html#giant%20poisonous%20snake_mm
Giant Rat,Beast,,1/8,MM,https://5e.tools/bestiary.html#giant%20rat_mm
Giant Raven,Beast,,1,SKT,https://5e.tools/bestiary.html#giant%20raven_skt
Giant Riding Lizard,Beast,,1/4,OotA,https://5e.tools/bestiary.html#giant%20riding%20lizard_oota
Giant River Serpent,Monstrosity,,11,PSA,https://5e.tools/bestiary.html#giant%20river%20serpent_psa
Giant Rocktopus,Beast,,1,OotA,https://5e.tools/bestiary.html#giant%20rocktopus_oota
Giant Scorpion,Beast,,3,MM,https://5e.tools/bestiary.html#giant%20scorpion_mm
Giant Sea Eel,Beast,,1/2,GoS,https://5e.tools/bestiary.html#giant%20sea%20eel_gos
Giant Sea Horse,Beast,,1/2,MM,https://5e.tools/bestiary.html#giant%20sea%20horse_mm
Giant Shark,Beast,,5,MM,https://5e.tools/bestiary.html#giant%20shark_mm
Giant Shark Skeleton,Undead,,5,SDW,https://5e.tools/bestiary.html#giant%20shark%20skeleton_sdw
Giant Skeleton,Undead,,7,TftYP,https://5e.tools/bestiary.html#giant%20skeleton_tftyp
Giant Slug,Monstrosity,,3,TTP,https://5e.tools/bestiary.html#giant%20slug_ttp
Giant Snapping Turtle,Beast,,3,ToA,https://5e.tools/bestiary.html#giant%20snapping%20turtle_toa
Giant Spider,Beast,,1,MM,https://5e.tools/bestiary.html#giant%20spider_mm
Giant Strider,Monstrosity,,1,VGM,https://5e.tools/bestiary.html#giant%20strider_vgm
Giant Subterranean Lizard,Beast,,4,TftYP,https://5e.tools/bestiary.html#giant%20subterranean%20lizard_tftyp
Giant Toad,Beast,,1,MM,https://5e.tools/bestiary.html#giant%20toad_mm
Giant Vulture,Beast,,1,MM,https://5e.tools/bestiary.html#giant%20vulture_mm
Giant Walrus,Beast,,4,IDRotF,https://5e.tools/bestiary.html#giant%20walrus_idrotf
Giant Wasp,Beast,,1/2,MM,https://5e.tools/bestiary.html#giant%20wasp_mm
Giant Weasel,Beast,,1/8,MM,https://5e.tools/bestiary.html#giant%20weasel_mm
Giant White Moray Eel,Beast,,2,GoS,https://5e.tools/bestiary.html#giant%20white%20moray%20eel_gos
Giant Wolf Spider,Beast,,1/4,MM,https://5e.tools/bestiary.html#giant%20wolf%20spider_mm
Gibbering Mouther,Aberration,,2,MM,https://5e.tools/bestiary.html#gibbering%20mouther_mm
Gideon Lightward,Undead,,6,BGDIA,https://5e.tools/bestiary.html#gideon%20lightward_bgdia
Giff,Humanoid,,3,MTF,https://5e.tools/bestiary.html#giff_mtf
Gildha Duhn,Humanoid,half-orc,1/4,OoW,https://5e.tools/bestiary.html#gildha%20duhn_oow
Gingwatzim,Aberration,shapechanger,2,CM,https://5e.tools/bestiary.html#gingwatzim_cm
Girallon,Monstrosity,,4,VGM,https://5e.tools/bestiary.html#girallon_vgm
Girallon Zombie,Undead,,3,ToA,https://5e.tools/bestiary.html#girallon%20zombie_toa
"Gishath, Sun's Avatar",Beast,,10,PSX,https://5e.tools/bestiary.html#gishath%2c%20sun's%20avatar_psx
Githyanki Gish,Humanoid,gith,10,MTF,https://5e.tools/bestiary.html#githyanki%20gish_mtf
Githyanki Kith'rak,Humanoid,gith,12,MTF,https://5e.tools/bestiary.html#githyanki%20kith'rak_mtf
Githyanki Knight,Humanoid,gith,8,MM,https://5e.tools/bestiary.html#githyanki%20knight_mm
Githyanki Supreme Commander,Humanoid,gith,14,MTF,https://5e.tools/bestiary.html#githyanki%20supreme%20commander_mtf
Githyanki Warrior,Humanoid,gith,3,MM,https://5e.tools/bestiary.html#githyanki%20warrior_mm
Githzerai Anarch,Humanoid,gith,16,MTF,https://5e.tools/bestiary.html#githzerai%20anarch_mtf
