NAME,TYPE,WEIGHT,ATTUNEMENT,RARITY,SOURCE,LINK
Coiling Grasp Tattoo,"Wondrous Item, Tattoo",—,Y,Uncommon,TCE,https://5e.tools/items.html#coiling%20grasp%20tattoo_tce
Coiling Grasp Tattoo,"Wondrous Item, Tattoo",—,Y,Uncommon,UA20SMT,https://5e.tools/items.html#coiling%20grasp%20tattoo_ua20smt
Coin of Delving,Wondrous Item,—,N,Common,EGW,https://5e.tools/items.html#coin%20of%20delving_egw
Cold Absorbing Tattoo,"Wondrous Item, Tattoo",—,Y,Very Rare,TCE,https://5e.tools/items.html#cold%20absorbing%20tattoo_tce
Common Glamerweave,Wondrous Item,—,N,Common,ERLW,https://5e.tools/items.html#common%20glamerweave_erlw
Concertina,Wondrous Item,—,N,Rare,RMBRE,https://5e.tools/items.html#concertina_rmbre
Conch of Teleportation,Wondrous Item,—,Y,Very Rare,SKT,https://5e.tools/items.html#conch%20of%20teleportation_skt
Copper Dragon Scale Mail,Medium Armor,45 lb.,Y,Very Rare,DMG,https://5e.tools/items.html#copper%20dragon%20scale%20mail_dmg
Corpse Slayer,Generic Variant,—,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer_egw
Corpse Slayer Antimatter Rifle,"Firearm, Futuristic, Martial Weapon, Ranged Weapon",10 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20antimatter%20rifle_egw
Corpse Slayer Automatic Pistol,"Firearm, Modern, Martial Weapon, Ranged Weapon",3 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20automatic%20pistol_egw
Corpse Slayer Automatic Rifle,"Firearm, Modern, Martial Weapon, Ranged Weapon",8 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20automatic%20rifle_egw
Corpse Slayer Battleaxe,"Martial Weapon, Melee Weapon",4 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20battleaxe_egw
Corpse Slayer Blowgun,"Martial Weapon, Ranged Weapon",1 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20blowgun_egw
Corpse Slayer Club,"Simple Weapon, Melee Weapon",2 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20club_egw
Corpse Slayer Dagger,"Simple Weapon, Melee Weapon",1 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20dagger_egw
Corpse Slayer Dart,"Simple Weapon, Ranged Weapon",¼ lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20dart_egw
Corpse Slayer Double-Bladed Scimitar,"Martial Weapon, Melee Weapon",6 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20double-bladed%20scimitar_egw
Corpse Slayer Flail,"Martial Weapon, Melee Weapon",2 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20flail_egw
Corpse Slayer Glaive,"Martial Weapon, Melee Weapon",6 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20glaive_egw
Corpse Slayer Greataxe,"Martial Weapon, Melee Weapon",7 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20greataxe_egw
Corpse Slayer Greatclub,"Simple Weapon, Melee Weapon",10 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20greatclub_egw
Corpse Slayer Greatsword,"Martial Weapon, Melee Weapon",6 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20greatsword_egw
Corpse Slayer Halberd,"Martial Weapon, Melee Weapon",6 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20halberd_egw
Corpse Slayer Hand Crossbow,"Martial Weapon, Ranged Weapon",3 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20hand%20crossbow_egw
Corpse Slayer Handaxe,"Simple Weapon, Melee Weapon",2 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20handaxe_egw
Corpse Slayer Heavy Crossbow,"Martial Weapon, Ranged Weapon",18 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20heavy%20crossbow_egw
Corpse Slayer Hooked Shortspear,"Martial Weapon, Melee Weapon",2 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20hooked%20shortspear_egw
Corpse Slayer Hunting Rifle,"Firearm, Modern, Martial Weapon, Ranged Weapon",8 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20hunting%20rifle_egw
Corpse Slayer Javelin,"Simple Weapon, Melee Weapon",2 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20javelin_egw
Corpse Slayer Lance,"Martial Weapon, Melee Weapon",6 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20lance_egw
Corpse Slayer Laser Pistol,"Firearm, Futuristic, Martial Weapon, Ranged Weapon",2 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20laser%20pistol_egw
Corpse Slayer Laser Rifle,"Firearm, Futuristic, Martial Weapon, Ranged Weapon",7 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20laser%20rifle_egw
Corpse Slayer Light Crossbow,"Simple Weapon, Ranged Weapon",5 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20light%20crossbow_egw
Corpse Slayer Light Hammer,"Simple Weapon, Melee Weapon",2 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20light%20hammer_egw
Corpse Slayer Light Repeating Crossbow,"Simple Weapon, Ranged Weapon",5 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20light%20repeating%20crossbow_egw
Corpse Slayer Longbow,"Martial Weapon, Ranged Weapon",2 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20longbow_egw
Corpse Slayer Longsword,"Martial Weapon, Melee Weapon",3 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20longsword_egw
Corpse Slayer Mace,"Simple Weapon, Melee Weapon",4 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20mace_egw
Corpse Slayer Maul,"Martial Weapon, Melee Weapon",10 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20maul_egw
Corpse Slayer Morningstar,"Martial Weapon, Melee Weapon",4 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20morningstar_egw
Corpse Slayer Musket,"Firearm, Renaissance, Martial Weapon, Ranged Weapon",10 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20musket_egw
Corpse Slayer Net,"Martial Weapon, Ranged Weapon",3 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20net_egw
Corpse Slayer Pike,"Martial Weapon, Melee Weapon",18 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20pike_egw
Corpse Slayer Pistol,"Firearm, Renaissance, Martial Weapon, Ranged Weapon",3 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20pistol_egw
Corpse Slayer Quarterstaff,"Simple Weapon, Melee Weapon",4 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20quarterstaff_egw
Corpse Slayer Rapier,"Martial Weapon, Melee Weapon",2 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20rapier_egw
Corpse Slayer Revolver,"Firearm, Modern, Martial Weapon, Ranged Weapon",3 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20revolver_egw
Corpse Slayer Scimitar,"Martial Weapon, Melee Weapon",3 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20scimitar_egw
Corpse Slayer Shortbow,"Simple Weapon, Ranged Weapon",2 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20shortbow_egw
Corpse Slayer Shortsword,"Martial Weapon, Melee Weapon",2 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20shortsword_egw
Corpse Slayer Shotgun,"Firearm, Modern, Martial Weapon, Ranged Weapon",7 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20shotgun_egw
Corpse Slayer Sickle,"Simple Weapon, Melee Weapon",2 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20sickle_egw
Corpse Slayer Sling,"Simple Weapon, Ranged Weapon",—,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20sling_egw
Corpse Slayer Spear,"Simple Weapon, Melee Weapon",3 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20spear_egw
Corpse Slayer Trident,"Martial Weapon, Melee Weapon",4 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20trident_egw
Corpse Slayer War Pick,"Martial Weapon, Melee Weapon",2 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20war%20pick_egw
Corpse Slayer Warhammer,"Martial Weapon, Melee Weapon",2 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20warhammer_egw
Corpse Slayer Whip,"Martial Weapon, Melee Weapon",3 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20whip_egw
Corpse Slayer Yklwa,"Simple Weapon, Melee Weapon",3 lb.,Y,Rare,EGW,https://5e.tools/items.html#corpse%20slayer%20yklwa_egw
Cracked Driftglobe,Wondrous Item,1 lb.,N,Uncommon,CM,https://5e.tools/items.html#cracked%20driftglobe_cm
Crook of Rao,Wondrous Item,—,Y,Artifact,TCE,https://5e.tools/items.html#crook%20of%20rao_tce
Crossbow Bolt of Slaying,Ammunition,1.2 oz.,N,Very Rare,DMG,https://5e.tools/items.html#crossbow%20bolt%20of%20slaying_dmg
Crown of the Forest,Wondrous Item,—,N,Uncommon,IMR,https://5e.tools/items.html#crown%20of%20the%20forest_imr
Crystal Ball,Wondrous Item,3 lb.,Y,Very Rare,DMG,https://5e.tools/items.html#crystal%20ball_dmg
Crystal Ball (Legendary Version),Wondrous Item,3 lb.,Y,Legendary,DMG,https://5e.tools/items.html#crystal%20ball%20(legendary%20version)_dmg
Crystal Ball of Mind Reading,Wondrous Item,3 lb.,Y,Legendary,DMG,https://5e.tools/items.html#crystal%20ball%20of%20mind%20reading_dmg
Crystal Ball of Telepathy,Wondrous Item,3 lb.,Y,Legendary,DMG,https://5e.tools/items.html#crystal%20ball%20of%20telepathy_dmg
Crystal Ball of True Seeing,Wondrous Item,3 lb.,Y,Legendary,DMG,https://5e.tools/items.html#crystal%20ball%20of%20true%20seeing_dmg
Crystalline Chronicle,Wondrous Item,3 lb.,Y,Very Rare,TCE,https://5e.tools/items.html#crystalline%20chronicle_tce
Cube of Force,Wondrous Item,—,Y,Rare,DMG,https://5e.tools/items.html#cube%20of%20force_dmg
Cubic Gate,Wondrous Item,—,N,Legendary,DMG,https://5e.tools/items.html#cubic%20gate_dmg
Cursed Luckstone,Wondrous Item,—,Y,Uncommon,GoS,https://5e.tools/items.html#cursed%20luckstone_gos
Daern's Instant Fortress,Wondrous Item,—,N,Rare,DMG,https://5e.tools/items.html#daern's%20instant%20fortress_dmg
Dagger Armblade,"Simple Weapon, Melee Weapon",1 lb.,Y,Common,ERLW,https://5e.tools/items.html#dagger%20armblade_erlw
Dagger of Blindsight,"Simple Weapon, Melee Weapon",1 lb.,Y,Rare,WDMM,https://5e.tools/items.html#dagger%20of%20blindsight_wdmm
Dagger of Certain Death,"Simple Weapon, Melee Weapon",1 lb.,N,Rare,EGW,https://5e.tools/items.html#dagger%20of%20certain%20death_egw
Dagger of Venom,"Simple Weapon, Melee Weapon",1 lb.,N,Rare,DMG,https://5e.tools/items.html#dagger%20of%20venom_dmg
Dagger of Warning,"Simple Weapon, Melee Weapon",1 lb.,Y,Uncommon,DMG,https://5e.tools/items.html#dagger%20of%20warning_dmg
Dancing Double-Bladed Scimitar,"Martial Weapon, Melee Weapon",6 lb.,Y,Very Rare,DMG,https://5e.tools/items.html#dancing%20double-bladed%20scimitar_dmg
Dancing Greatsword,"Martial Weapon, Melee Weapon",6 lb.,Y,Very Rare,DMG,https://5e.tools/items.html#dancing%20greatsword_dmg
Dancing Longsword,"Martial Weapon, Melee Weapon",3 lb.,Y,Very Rare,DMG,https://5e.tools/items.html#dancing%20longsword_dmg
Dancing Rapier,"Martial Weapon, Melee Weapon",2 lb.,Y,Very Rare,DMG,https://5e.tools/items.html#dancing%20rapier_dmg
Dancing Scimitar,"Martial Weapon, Melee Weapon",3 lb.,Y,Very Rare,DMG,https://5e.tools/items.html#dancing%20scimitar_dmg
Dancing Shortsword,"Martial Weapon, Melee Weapon",2 lb.,Y,Very Rare,DMG,https://5e.tools/items.html#dancing%20shortsword_dmg
Dancing Sword,Generic Variant,—,Y,Very Rare,DMG,https://5e.tools/items.html#dancing%20sword_dmg
Danoth's Visor,Wondrous Item,—,Y,Legendary,EGW,https://5e.tools/items.html#danoth's%20visor_egw
Dark Shard Amulet,Wondrous Item,—,Y,Common,XGE,https://5e.tools/items.html#dark%20shard%20amulet_xge
Dart of Certain Death,"Simple Weapon, Ranged Weapon",¼ lb.,N,Rare,EGW,https://5e.tools/items.html#dart%20of%20certain%20death_egw
Dart of Warning,"Simple Weapon, Ranged Weapon",¼ lb.,Y,Uncommon,DMG,https://5e.tools/items.html#dart%20of%20warning_dmg
Dawnbringer,"Martial Weapon, Melee Weapon",3 lb.,Y,Legendary,OotA,https://5e.tools/items.html#dawnbringer_oota
Decanter of Endless Water,Wondrous Item,2 lb.,N,Uncommon,DMG,https://5e.tools/items.html#decanter%20of%20endless%20water_dmg
Deck of Illusions,Wondrous Item,—,N,Uncommon,DMG,https://5e.tools/items.html#deck%20of%20illusions_dmg
Deck of Many Things,Wondrous Item,—,N,Legendary,DMG,https://5e.tools/items.html#deck%20of%20many%20things_dmg
Deck of Several Things,Wondrous Item,—,N,Legendary,LLK,https://5e.tools/items.html#deck%20of%20several%20things_llk
Defender,Generic Variant,—,Y,Legendary,DMG,https://5e.tools/items.html#defender_dmg
Defender Double-Bladed Scimitar,"Martial Weapon, Melee Weapon",6 lb.,Y,Legendary,DMG,https://5e.tools/items.html#defender%20double-bladed%20scimitar_dmg
Defender Greatsword,"Martial Weapon, Melee Weapon",6 lb.,Y,Legendary,DMG,https://5e.tools/items.html#defender%20greatsword_dmg
Defender Longsword,"Martial Weapon, Melee Weapon",3 lb.,Y,Legendary,DMG,https://5e.tools/items.html#defender%20longsword_dmg
Defender Rapier,"Martial Weapon, Melee Weapon",2 lb.,Y,Legendary,DMG,https://5e.tools/items.html#defender%20rapier_dmg
Defender Scimitar,"Martial Weapon, Melee Weapon",3 lb.,Y,Legendary,DMG,https://5e.tools/items.html#defender%20scimitar_dmg
Defender Shortsword,"Martial Weapon, Melee Weapon",2 lb.,Y,Legendary,DMG,https://5e.tools/items.html#defender%20shortsword_dmg
"Dekella, Bident of Thassa","Martial Weapon, Melee Weapon",4 lb.,Y,Artifact,MOT,https://5e.tools/items.html#dekella%2c%20bident%20of%20thassa_mot
Demon Armor,Heavy Armor,65 lb.,Y,Very Rare,DMG,https://5e.tools/items.html#demon%20armor_dmg
Demonomicon of Iggwilv,Wondrous Item,—,Y,Artifact,TCE,https://5e.tools/items.html#demonomicon%20of%20iggwilv_tce
Devastation Orb of Air,Wondrous Item,—,N,Very Rare,PotA,https://5e.tools/items.html#devastation%20orb%20of%20air_pota
Devastation Orb of Earth,Wondrous Item,—,N,Very Rare,PotA,https://5e.tools/items.html#devastation%20orb%20of%20earth_pota
Devastation Orb of Fire,Wondrous Item,—,N,Very Rare,PotA,https://5e.tools/items.html#devastation%20orb%20of%20fire_pota
Devastation Orb of Water,Wondrous Item,—,N,Very Rare,PotA,https://5e.tools/items.html#devastation%20orb%20of%20water_pota
Devlin's Staff of Striking,"Staff, Simple Weapon, Melee Weapon",4 lb.,Y,Very Rare,ToA,https://5e.tools/items.html#devlin's%20staff%20of%20striking_toa
Devotee's Censer,"Martial Weapon, Melee Weapon",2 lb.,Y,Rare,TCE,https://5e.tools/items.html#devotee's%20censer_tce
Dimensional Loop,Wondrous Item,—,Y,Very Rare,AI,https://5e.tools/items.html#dimensional%20loop_ai
Dimensional Shackles,Wondrous Item,—,N,Rare,DMG,https://5e.tools/items.html#dimensional%20shackles_dmg
Dimir Guild Signet,Ring,—,Y,Uncommon,GGR,https://5e.tools/items.html#dimir%20guild%20signet_ggr
Dimir Keyrune,Wondrous Item,—,Y,Very Rare,GGR,https://5e.tools/items.html#dimir%20keyrune_ggr
Dispelling Stone,Wondrous Item,—,N,Very Rare,EGW,https://5e.tools/items.html#dispelling%20stone_egw
Docent,Wondrous Item,—,Y,Rare,ERLW,https://5e.tools/items.html#docent_erlw
Dodecahedron of Doom,Wondrous Item,—,N,Rare,WDMM,https://5e.tools/items.html#dodecahedron%20of%20doom_wdmm
Double-Bladed Scimitar of Certain Death,"Martial Weapon, Melee Weapon",6 lb.,N,Rare,EGW,https://5e.tools/items.html#double-bladed%20scimitar%20of%20certain%20death_egw
Double-Bladed Scimitar of Life Stealing,"Martial Weapon, Melee Weapon",6 lb.,Y,Rare,DMG,https://5e.tools/items.html#double-bladed%20scimitar%20of%20life%20stealing_dmg
Double-Bladed Scimitar of Sharpness,"Martial Weapon, Melee Weapon",6 lb.,Y,Very Rare,DMG,https://5e.tools/items.html#double-bladed%20scimitar%20of%20sharpness_dmg
Double-Bladed Scimitar of the Medusa,"Martial Weapon, Melee Weapon",6 lb.,Y,Very Rare,LLK,https://5e.tools/items.html#double-bladed%20scimitar%20of%20the%20medusa_llk
Double-Bladed Scimitar of Vengeance,"Martial Weapon, Melee Weapon",6 lb.,Y,Uncommon,DMG,https://5e.tools/items.html#double-bladed%20scimitar%20of%20vengeance_dmg
Double-Bladed Scimitar of Warning,"Martial Weapon, Melee Weapon",6 lb.,Y,Uncommon,DMG,https://5e.tools/items.html#double-bladed%20scimitar%20of%20warning_dmg
Double-Bladed Scimitar of Wounding,"Martial Weapon, Melee Weapon",6 lb.,Y,Rare,DMG,https://5e.tools/items.html#double-bladed%20scimitar%20of%20wounding_dmg
Draakhorn,Wondrous Item,—,N,Artifact,RoT,https://5e.tools/items.html#draakhorn_rot
Dragon Scale Mail,Medium Armor,45 lb.,Y,Very Rare,DMG,https://5e.tools/items.html#dragon%20scale%20mail_dmg
Dragon Slayer,Generic Variant,—,N,Rare,DMG,https://5e.tools/items.html#dragon%20slayer_dmg
Dragon Slayer Double-Bladed Scimitar,"Martial Weapon, Melee Weapon",6 lb.,N,Rare,DMG,https://5e.tools/items.html#dragon%20slayer%20double-bladed%20scimitar_dmg
Dragon Slayer Greatsword,"Martial Weapon, Melee Weapon",6 lb.,N,Rare,DMG,https://5e.tools/items.html#dragon%20slayer%20greatsword_dmg
Dragon Slayer Longsword,"Martial Weapon, Melee Weapon",3 lb.,N,Rare,DMG,https://5e.tools/items.html#dragon%20slayer%20longsword_dmg
Dragon Slayer Rapier,"Martial Weapon, Melee Weapon",2 lb.,N,Rare,DMG,https://5e.tools/items.html#dragon%20slayer%20rapier_dmg
Dragon Slayer Scimitar,"Martial Weapon, Melee Weapon",3 lb.,N,Rare,DMG,https://5e.tools/items.html#dragon%20slayer%20scimitar_dmg
Dragon Slayer Shortsword,"Martial Weapon, Melee Weapon",2 lb.,N,Rare,DMG,https://5e.tools/items.html#dragon%20slayer%20shortsword_dmg
Dragonguard,Medium Armor,20 lb.,N,Rare,LMoP,https://5e.tools/items.html#dragonguard_lmop
Dragonstaff of Ahghairon,"Staff, Simple Weapon, Melee Weapon",4 lb.,Y,Legendary,WDH,https://5e.tools/items.html#dragonstaff%20of%20ahghairon_wdh
Dragontooth Dagger,"Simple Weapon, Melee Weapon",1 lb.,N,Rare,RoT,https://5e.tools/items.html#dragontooth%20dagger_rot
Dread Helm,Wondrous Item,—,N,Common,XGE,https://5e.tools/items.html#dread%20helm_xge
Driftglobe,Wondrous Item,1 lb.,N,Uncommon,DMG,https://5e.tools/items.html#driftglobe_dmg
Drown,"Martial Weapon, Melee Weapon",4 lb.,Y,Legendary,PotA,https://5e.tools/items.html#drown_pota
Duplicitous Manuscript,Wondrous Item,3 lb.,Y,Rare,TCE,https://5e.tools/items.html#duplicitous%20manuscript_tce
Duskcrusher,"Martial Weapon, Melee Weapon",2 lb.,Y,Very Rare,EGW,https://5e.tools/items.html#duskcrusher_egw
Dust of Deliciousness,Wondrous Item,—,N,Uncommon,EGW,https://5e.tools/items.html#dust%20of%20deliciousness_egw
Dust of Disappearance,Wondrous Item,—,N,Uncommon,DMG,https://5e.tools/items.html#dust%20of%20disappearance_dmg
Dust of Dryness,Wondrous Item,—,N,Uncommon,DMG,https://5e.tools/items.html#dust%20of%20dryness_dmg
Dust of Sneezing and Choking,Wondrous Item,—,N,Uncommon,DMG,https://5e.tools/items.html#dust%20of%20sneezing%20and%20choking_dmg
Dwarven Plate,Heavy Armor,65 lb.,N,Very Rare,DMG,https://5e.tools/items.html#dwarven%20plate_dmg
Dwarven Thrower,"Martial Weapon, Melee Weapon",2 lb.,Y,Very Rare,DMG,https://5e.tools/items.html#dwarven%20thrower_dmg
Dyrrn's Tentacle Whip,"Martial Weapon, Melee Weapon",3 lb.,Y,Very Rare,ERLW,https://5e.tools/items.html#dyrrn's%20tentacle%20whip_erlw
Eagle Whistle,Wondrous Item,1 lb.,N,Rare,TftYP,https://5e.tools/items.html#eagle%20whistle_tftyp
Ear Horn of Hearing,Wondrous Item,—,N,Common,XGE,https://5e.tools/items.html#ear%20horn%20of%20hearing_xge
Earworm,Wondrous Item,—,Y,Uncommon,ERLW,https://5e.tools/items.html#earworm_erlw
Efreeti Bottle,Wondrous Item,1 lb.,N,Very Rare,DMG,https://5e.tools/items.html#efreeti%20bottle_dmg
Efreeti Chain,Heavy Armor,55 lb.,Y,Legendary,DMG,https://5e.tools/items.html#efreeti%20chain_dmg
Elder Cartographer's Glossography,Wondrous Item,—,N,Uncommon,AI,https://5e.tools/items.html#elder%20cartographer's%20glossography_ai
Eldritch Claw Tattoo,"Wondrous Item, Tattoo",—,Y,Uncommon,TCE,https://5e.tools/items.html#eldritch%20claw%20tattoo_tce
Eldritch Claw Tattoo,"Wondrous Item, Tattoo",—,Y,Uncommon,UA20SMT,https://5e.tools/items.html#eldritch%20claw%20tattoo_ua20smt
Elemental Essence Shard,Wondrous Item,1 lb.,Y,Rare,TCE,https://5e.tools/items.html#elemental%20essence%20shard_tce
Elemental Essence Shard (Air),Wondrous Item,1 lb.,Y,Rare,TCE,https://5e.tools/items.html#elemental%20essence%20shard%20(air)_tce
Elemental Essence Shard (Earth),Wondrous Item,1 lb.,Y,Rare,TCE,https://5e.tools/items.html#elemental%20essence%20shard%20(earth)_tce
Elemental Essence Shard (Fire),Wondrous Item,1 lb.,Y,Rare,TCE,https://5e.tools/items.html#elemental%20essence%20shard%20(fire)_tce
Elemental Essence Shard (Water),Wondrous Item,1 lb.,Y,Rare,TCE,https://5e.tools/items.html#elemental%20essence%20shard%20(water)_tce
Elemental Gem,Wondrous Item,—,N,Uncommon,DMG,https://5e.tools/items.html#elemental%20gem_dmg
"Elemental Gem, Blue Sapphire",Wondrous Item,—,N,Uncommon,DMG,https://5e.tools/items.html#elemental%20gem%2c%20blue%20sapphire_dmg
"Elemental Gem, Emerald",Wondrous Item,—,N,Uncommon,DMG,https://5e.tools/items.html#elemental%20gem%2c%20emerald_dmg
"Elemental Gem, Red Corundum",Wondrous Item,—,N,Uncommon,DMG,https://5e.tools/items.html#elemental%20gem%2c%20red%20corundum_dmg
"Elemental Gem, Yellow Diamond",Wondrous Item,—,N,Uncommon,DMG,https://5e.tools/items.html#elemental%20gem%2c%20yellow%20diamond_dmg
Elixir of Health,Potion,—,N,Rare,DMG,https://5e.tools/items.html#elixir%20of%20health_dmg
Elven Chain,Medium Armor,20 lb.,N,Rare,DMG,https://5e.tools/items.html#elven%20chain_dmg
Enduring Spellbook,Wondrous Item,—,N,Common,XGE,https://5e.tools/items.html#enduring%20spellbook_xge
"Ephixis, Bow of Nylea","Simple Weapon, Ranged Weapon",2 lb.,Y,Artifact,MOT,https://5e.tools/items.html#ephixis%2c%20bow%20of%20nylea_mot
Ersatz Eye,Wondrous Item,—,Y,Common,XGE,https://5e.tools/items.html#ersatz%20eye_xge
Everbright Lantern,Wondrous Item,—,N,Common,ERLW,https://5e.tools/items.html#everbright%20lantern_erlw
Eversmoking Bottle,Wondrous Item,1 lb.,N,Uncommon,DMG,https://5e.tools/items.html#eversmoking%20bottle_dmg
Eye of Vecna,Wondrous Item,—,Y,Artifact,DMG,https://5e.tools/items.html#eye%20of%20vecna_dmg
Eyes of Charming,Wondrous Item,—,Y,Uncommon,DMG,https://5e.tools/items.html#eyes%20of%20charming_dmg
Eyes of Minute Seeing,Wondrous Item,—,N,Uncommon,DMG,https://5e.tools/items.html#eyes%20of%20minute%20seeing_dmg
Eyes of the Eagle,Wondrous Item,—,Y,Uncommon,DMG,https://5e.tools/items.html#eyes%20of%20the%20eagle_dmg
Failed Experiment Wand,Wand,1 lb.,Y,Rare,AI,https://5e.tools/items.html#failed%20experiment%20wand_ai
Fane-Eater,"Martial Weapon, Melee Weapon",4 lb.,Y,Legendary,BGDIA,https://5e.tools/items.html#fane-eater_bgdia
Far Gear,Wondrous Item,—,Y,Very Rare,AI,https://5e.tools/items.html#far%20gear_ai
Far Realm Shard,Wondrous Item,1 lb.,Y,Rare,TCE,https://5e.tools/items.html#far%20realm%20shard_tce
Feather of Diatryma Summoning,Wondrous Item,—,Y,Rare,WDH,https://5e.tools/items.html#feather%20of%20diatryma%20summoning_wdh
Feather Token,Wondrous Item,—,N,Common,ERLW,https://5e.tools/items.html#feather%20token_erlw
Fernian Ash Rod,"Wondrous Item, Spellcasting Focus",2 lb.,Y,Common,ERLW,https://5e.tools/items.html#fernian%20ash%20rod_erlw
Fernian Ash Staff,"Wondrous Item, Staff, Melee Weapon, Spellcasting Focus",4 lb.,Y,Common,ERLW,https://5e.tools/items.html#fernian%20ash%20staff_erlw
Fernian Ash Wand,"Wondrous Item, Spellcasting Focus",1 lb.,Y,Common,ERLW,https://5e.tools/items.html#fernian%20ash%20wand_erlw
Fernian Basalt Crystal,"Wondrous Item, Spellcasting Focus",1 lb.,Y,Common,ERLW,https://5e.tools/items.html#fernian%20basalt%20crystal_erlw
Fernian Basalt Orb,"Wondrous Item, Spellcasting Focus",3 lb.,Y,Common,ERLW,https://5e.tools/items.html#fernian%20basalt%20orb_erlw
Feywild Shard,Wondrous Item,1 lb.,Y,Uncommon,TCE,https://5e.tools/items.html#feywild%20shard_tce
"Figurine of Wondrous Power, Bronze Griffon",Wondrous Item,—,N,Rare,DMG,https://5e.tools/items.html#figurine%20of%20wondrous%20power%2c%20bronze%20griffon_dmg
"Figurine of Wondrous Power, Ebony Fly",Wondrous Item,—,N,Rare,DMG,https://5e.tools/items.html#figurine%20of%20wondrous%20power%2c%20ebony%20fly_dmg
"Figurine of Wondrous Power, Golden Lions",Wondrous Item,—,N,Rare,DMG,https://5e.tools/items.html#figurine%20of%20wondrous%20power%2c%20golden%20lions_dmg
"Figurine of Wondrous Power, Ivory Goats",Wondrous Item,—,N,Rare,DMG,https://5e.tools/items.html#figurine%20of%20wondrous%20power%2c%20ivory%20goats_dmg
"Figurine of Wondrous Power, Marble Elephant",Wondrous Item,—,N,Rare,DMG,https://5e.tools/items.html#figurine%20of%20wondrous%20power%2c%20marble%20elephant_dmg
"Figurine of Wondrous Power, Obsidian Steed",Wondrous Item,—,N,Very Rare,DMG,https://5e.tools/items.html#figurine%20of%20wondrous%20power%2c%20obsidian%20steed_dmg
